File;Method Name;Mutant Density
ansible/galaxy/token;GalaxyToken.headers;2
ansible/galaxy/token;BasicAuthToken._encode_token;2
ansible/galaxy/token;BasicAuthToken.headers;1
ansible/galaxy/token;KeycloakToken.__init__;1
ansible/galaxy/token;KeycloakToken.get;1
ansible/galaxy/token;GalaxyToken.config;2
ansible/galaxy/token;BasicAuthToken.get;1
ansible/galaxy/token;config;1
ansible/galaxy/token;_encode_token;1
ansible/inventory/data;InventoryData.reconcile_inventory;17
ansible/inventory/data;InventoryData.add_group;11
ansible/inventory/data;InventoryData.remove_group;3
ansible/inventory/data;InventoryData.add_host;20
ansible/inventory/data;InventoryData.set_variable;6
ansible/inventory/data;InventoryData.add_child;9
ansible/inventory/data;InventoryData._create_implicit_localhost;3
ansible/inventory/data;InventoryData.get_groups_dict;2
ansible/inventory/data;InventoryData.get_host;3
ansible/inventory/data;InventoryData.remove_host;2
ansible/inventory/group;Group.add_child_group;10
ansible/inventory/group;Group._check_children_depth;10
ansible/inventory/group;Group._get_hosts;6
ansible/inventory/group;Group._walk_relationship;7
ansible/inventory/group;Group.add_host;2
ansible/inventory/group;Group.host_names;1
ansible/inventory/group;Group.remove_host;2
ansible/inventory/group;Group.set_variable;5
ansible/inventory/group;Group.get_hosts;1
ansible/inventory/group;host_names;1
ansible/inventory/group;Group.set_priority;1
ansible/inventory/host;Host.remove_group;7
ansible/inventory/host;Host.__eq__;3
ansible/inventory/host;Host.__ne__;1
ansible/inventory/host;Host.populate_ancestors;3
ansible/inventory/host;Host.add_group;4
ansible/inventory/host;Host.__init__;2
ansible/inventory/host;Host.set_variable;3
ansible/inventory/host;Host.get_magic_vars;3
ansible/inventory/manager;InventoryManager.get_hosts;31
ansible/inventory/manager;InventoryManager._split_subscript;10
ansible/inventory/manager;InventoryManager._apply_subscript;13
ansible/inventory/manager;InventoryManager._fetch_inventory_plugins;4
ansible/inventory/manager;InventoryManager.parse_source;34
ansible/inventory/manager;InventoryManager._match_list;7
ansible/inventory/manager;InventoryManager._match_one_pattern;7
ansible/inventory/manager;InventoryManager._enumerate_matches;22
ansible/inventory/manager;InventoryManager.subset;13
ansible/inventory/manager;InventoryManager.add_dynamic_group;20
ansible/inventory/manager;InventoryManager.parse_sources;9
ansible/inventory/manager;InventoryManager._evaluate_patterns;9
ansible/inventory/manager;InventoryManager.restrict_to_hosts;3
ansible/inventory/manager;InventoryManager.add_dynamic_host;11
ansible/inventory/manager;InventoryManager.__init__;3
ansible/inventory/manager;InventoryManager.list_hosts;4
ansible/inventory/manager;localhost;1
ansible/inventory/manager;groups;1
ansible/inventory/manager;hosts;1
